year,bowl,bowlid,mm,yy,team1,score1,team2,score2,ot
2015,AAC Champ,AAC Champ,,,Houston,24,Temple,13,
2016,AAC Champ,AAC Champ,,,Temple,34,Navy,10,
2017,AAC Champ,AAC Champ,,,UCF,62,Memphis,55,2OT
2018,AAC Champ,AAC Champ,,,UCF,56,Memphis,41,
2019,AAC Champ,AAC Champ,,,Memphis,29,Cincinnati,24,
2020,AAC Champ,AAC Champ,,,Cincinnati,27,Tulsa,24,
2021,AAC Champ,AAC Champ,,,Cincinnati,35,Houston,20,
2022,AAC Champ,AAC Champ,,,Tulane,45,UCF,28,
2023,AAC Champ,AAC Champ,,,SMU,26,Tulane,14,
2024,AAC Champ,AAC Champ,,,Army,35,Tulane,14,
2005,ACC Champ,ACC Champ,,,Florida St.,27,Virginia Tech,22,
2006,ACC Champ,ACC Champ,,,Wake Forest,9,Georgia Tech,6,
2007,ACC Champ,ACC Champ,,,Virginia Tech,30,Boston College,16,
2008,ACC Champ,ACC Champ,,,Virginia Tech,30,Boston College,12,
2009,ACC Champ,ACC Champ,,,Georgia Tech,39,Clemson,34,
2010,ACC Champ,ACC Champ,,,Virginia Tech,44,Florida St.,33,
2011,ACC Champ,ACC Champ,,,Clemson,38,Virginia Tech,10,
2012,ACC Champ,ACC Champ,,,Floirda St.,21,Georgia Tech,15,
2013,ACC Champ,ACC Champ,,,Florida St.,45,Duke,7,
2014,ACC Champ,ACC Champ,,,Florida St.,37,Georgia Tech,35,
2015,ACC Champ,ACC Champ,,,Clemson,45,North Carolina,37,
2016,ACC Champ,ACC Champ,,,Clemson,42,Virginia Tech,35,
2017,ACC Champ,ACC Champ,,,Clemson,38,Miami,3,
2018,ACC Champ,ACC Champ,,,Clemson,42,Pittsburgh,10,
2019,ACC Champ,ACC Champ,,,Clemson,62,Virginia,17,
2020,ACC Champ,ACC Champ,,,Clemson,34,Notre Dame,10,
2021,ACC Champ,ACC Champ,,,Pittsburgh,45,Wake Forest,21,
2022,ACC Champ,ACC Champ,,,Clemson,39,North Carolina,10,
2023,ACC Champ,ACC Champ,,,Florida St.,16,Louisville,6,
2024,ACC Champ,ACC Champ,,,Clemson,34,SMU,31,
1993,Alamo,Alamo,Dec,1993,California,37,Iowa,3,
1994,Alamo,Alamo,Dec,1994,Washington St.,10,Baylor,3,
1995,Alamo,Alamo,Dec,1995,Texas A&M,22,Michigan,20,
1996,Alamo,Alamo,Dec,1996,Iowa,27,Texas Tech,0,
1997,Alamo,Alamo,Dec,1997,Purdue,33,Oklahoma St.,20,
1998,Alamo,Alamo,Dec,1998,Purdue,37,Kansas St.,34,
1999,Alamo,Alamo,Dec,1999,Penn State,24,Texas A&M,0,
2000,Alamo,Alamo,Dec,2000,Nebraska,66,Northwestern,17,
2001,Alamo,Alamo,Dec,2001,Iowa,19,Texas Tech,16,
2002,Alamo,Alamo,Dec,2002,Wisconsin,31,Colorado,28,OT
2003,Alamo,Alamo,Dec,2003,Nebraska,17,Michigan St.,3,
2004,Alamo,Alamo,Dec,2004,Ohio State,33,Oklahoma St.,7,
2005,Alamo,Alamo,Dec,2005,Nebraska,32,Michigan,28,
2006,Alamo,Alamo,Dec,2006,Texas,26,Iowa,24,
2007,Alamo,Alamo,Dec,2007,Penn State,24,Texas A&M,17,
2008,Alamo,Alamo,Dec,2008,Missouri,30,Northwestern,23,OT
2009,Alamo,Alamo,Jan,2010,Texas Tech,41,Michigan St.,31,
2010,Alamo,Alamo,Dec,2010,Oklahoma St.,36,Arizona,10,
2011,Alamo,Alamo,Dec,2011,Baylor,67,Washington,56,
2012,Alamo,Alamo,Dec,2012,Texas,31,Oregon St.,27,
2013,Alamo,Alamo,Dec,2013,Oregon,30,Texas,7,
2014,Alamo,Alamo,Jan,2015,UCLA,40,Kansas St.,35,
2015,Alamo,Alamo,Jan,2016,TCU,47,Oregon,41,3OT
2016,Alamo,Alamo,Dec,2016,Oklahoma St.,38,Colorado,8,
2017,Alamo,Alamo,Dec,2017,TCU,39,Stanford,37,
2018,Alamo,Alamo,Dec,2018,Washington St.,28,Iowa State,26,
2019,Alamo,Alamo,Dec,2019,Texas,38,Utah,10,
2020,Alamo,Alamo,Dec,2020,Texas,55,Colorado,23,
2021,Alamo,Alamo,Dec,2021,Oklahoma,47,Oregon,32,
2022,Alamo,Alamo,Dec,2022,Washington,27,Texas,20,
2023,Alamo,Alamo,Dec,2023,Arizona,38,Oklahoma,24,
2024,Alamo,Alamo,Dec,2024,BYU,36,Colorado,14,
1946,Alamo,Alamo 40s,Jan,1947,Hardin Simmons,20,Denver,0,
1977,Hall of Fame,All-American,Dec,1977,Maryland,17,Minnesota,7,
1978,Hall of Fame,All-American,Dec,1978,Texas A&M,28,Iowa State,12,
1979,Hall of Fame,All-American,Dec,1979,Missouri,24,South Carolina,14,
1980,Hall of Fame,All-American,Dec,1980,Arkansas,34,Tulane,15,
1981,Hall of Fame,All-American,Dec,1981,Miss State,10,Kansas,0,
1982,Hall of Fame,All-American,Dec,1982,Air Force,36,Vanderbilt,28,
1983,Hall of Fame,All-American,Dec,1983,West Virginia,20,Kentucky,16,
1984,Hall of Fame,All-American,Dec,1984,Kentucky,20,Wisconsin,19,
1985,All-American,All-American,Dec,1985,Georgia Tech,17,Michigan St.,14,
1986,All-American,All-American,Dec,1986,Florida St.,27,Indiana,13,
1987,All-American,All-American,Dec,1987,Virginia,22,BYU,16,
1988,All-American,All-American,Dec,1988,Florida,14,Illinois,10,
1989,All-American,All-American,Dec,1989,Texas Tech,49,Duke,21,
1990,All-American,All-American,Dec,1990,NC State,31,Southern Miss,27,
1982,Aloha,Aloha,Dec,1982,Washington,21,Maryland,20,
1983,Aloha,Aloha,Dec,1983,Penn State,13,Washington,10,
1984,Aloha,Aloha,Dec,1984,SMU,27,Notre Dame,20,
1985,Aloha,Aloha,Dec,1985,Alabama,24,USC,3,
1986,Aloha,Aloha,Dec,1986,Arizona,30,North Carolina,21,
1987,Aloha,Aloha,Dec,1987,UCLA,20,Florida,16,
1988,Aloha,Aloha,Dec,1988,Washington St.,24,Houston,22,
1989,Aloha,Aloha,Dec,1989,Michigan St.,33,Hawaii,13,
1990,Aloha,Aloha,Dec,1990,Syracuse,28,Arizona,0,
1991,Aloha,Aloha,Dec,1991,Georgia Tech,18,Stanford,17,
1992,Aloha,Aloha,Dec,1992,Kansas,23,BYU,20,
1993,Aloha,Aloha,Dec,1993,Colorado,41,Fresno St.,30,
1994,Aloha,Aloha,Dec,1994,Boston College,12,Kansas St.,7,
1995,Aloha,Aloha,Dec,1995,Kansas,51,UCLA,30,
1996,Aloha,Aloha,Dec,1996,Navy,42,California,38,
1997,Aloha,Aloha,Dec,1997,Washington,51,Michigan St.,23,
1998,Aloha,Aloha,Dec,1998,Colorado,51,Oregon,43,
1999,Aloha,Aloha,Dec,1999,Wake Forest,23,Arizona St.,3,
2000,Aloha,Aloha,Dec,2000,Boston College,31,Arizona St.,17,
2015,Arizona,Arizona,Dec,2015,Nevada,28,Colorado St.,23,
2016,Arizona,Arizona,Dec,2016,Air Force,45,South Alabama,21,
2017,Arizona,Arizona,Dec,2017,New Mexico St.,26,Utah State,20,OT
2018,Arizona,Arizona,Dec,2018,Nevada,16,Arkansas St.,13,OT
2019,Arizona,Arizona,Dec,2019,Wyoming,38,Georgia St.,17,
2020,Arizona,Arizona,Dec,2020,Ball State,34,San Jose St.,13,
2021,Arizona,Arizona,(cancelled),,,,,,
2022,Arizona,Arizona,Dec,2022,Ohio,30,Wyoming,27,
2023,Arizona,Arizona,Dec,2023,Wyoming,16,Toledo,15,
2024,Arizona,Arizona,Dec,2024,Miami Ohio,43,Colorado St.,17,
2003,Fort Worth,Armed Forces,Dec,2003,Boise St.,34,TCU,31,
2004,Fort Worth,Armed Forces,Dec,2004,Cincinnati,32,Marshall,14,
2005,Fort Worth,Armed Forces,Dec,2005,Kansas,42,Houston,13,
2006,Armed Forces,Armed Forces,Dec,2006,Utah,25,Tulsa,13,
2007,Armed Forces,Armed Forces,Dec,2007,California,42,Air Force,36,
2008,Armed Forces,Armed Forces,Dec,2008,Houston,34,Air Force,28,
2009,Armed Forces,Armed Forces,Dec,2009,Air Force,47,Houston,20,
2010,Armed Forces,Armed Forces,Dec,2010,Army,16,SMU,14,
2011,Armed Forces,Armed Forces,Dec,2011,BYU,24,Tulsa,21,
2012,Armed Forces,Armed Forces,Dec,2012,Rice,33,Air Force,14,
2013,Armed Forces,Armed Forces,Dec,2013,Navy,24,Middle Tenn.,6,
2014,Armed Forces,Armed Forces,Jan,2015,Houston,35,Pittsburgh,34,
2015,Armed Forces,Armed Forces,Dec,2015,California,55,Air Force,36,
2016,Armed Forces,Armed Forces,Dec,2016,Louisiana Tech,48,Navy,45,
2017,Armed Forces,Armed Forces,Dec,2017,Army,42,San Diego St.,35,
2018,Armed Forces,Armed Forces,Dec,2018,Army,70,Houston,14,
2019,Armed Forces,Armed Forces,Jan,2020,Tulane,30,Southern Miss,13,
2020,Armed Forces,Armed Forces,Dec,2020,Miss State,28,Tulsa,26,
2021,Armed Forces,Armed Forces,Dec,2021,Army,24,Missouri,22,
2022,Armed Forces,Armed Forces,Dec,2022,Air Force,30,Baylor,15,
2023,Armed Forces,Armed Forces,Dec,2023,Air Force,31,James Madison,21,
2024,Armed Forces,Armed Forces,Dec,2024,Navy,21,Oklahoma,20,
1961,Aviation,Aviation,Dec,1961,New Mexico,28,Western Mich.,12,
2011,B10 Champ,B10 Champ,,,Wisconsin,42,Michigan St.,39,
2012,B10 Champ,B10 Champ,,,Wisconsin,70,Nebraska,31,
2013,B10 Champ,B10 Champ,,,Michigan St.,34,Ohio State,24,
2014,B10 Champ,B10 Champ,,,Ohio State,59,Wisconsin,0,
2015,B10 Champ,B10 Champ,,,Michigan St.,16,Iowa,13,
2016,B10 Champ,B10 Champ,,,Penn State,38,Wisconsin,31,
2017,B10 Champ,B10 Champ,,,Ohio State,27,Wisconsin,21,
2018,B10 Champ,B10 Champ,,,Ohio State,45,Northwestern,24,
2019,B10 Champ,B10 Champ,,,Ohio State,34,Wisconsin,21,
2020,B10 Champ,B10 Champ,,,Ohio State,22,Northwestern,10,
2021,B10 Champ,B10 Champ,,,Michigan,42,Iowa,3,
2022,B10 Champ,B10 Champ,,,Michigan,43,Purdue,22,
2023,B10 Champ,B10 Champ,,,Michigan,26,Iowa,0,
2024,B10 Champ,B10 Champ,,,Oregon,45,Penn State,37,
1996,B12 Champ,B12 Champ,,,Texas,37,Nebraska,27,
1997,B12 Champ,B12 Champ,,,Nebraska,54,Texas A&M,15,
1998,B12 Champ,B12 Champ,,,Texas A&M,36,Kansas St.,33,2OT
1999,B12 Champ,B12 Champ,,,Nebraska,22,Texas,6,
2000,B12 Champ,B12 Champ,,,Oklahoma,27,Kansas St.,24,
2001,B12 Champ,B12 Champ,,,Colorado,39,Texas,37,
2002,B12 Champ,B12 Champ,,,Oklahoma,29,Colorado,7,
2003,B12 Champ,B12 Champ,,,Kansas St.,35,Oklahoma,7,
2004,B12 Champ,B12 Champ,,,Oklahoma,42,Colorado,3,
2005,B12 Champ,B12 Champ,,,Texas,70,Colorado,3,
2006,B12 Champ,B12 Champ,,,Oklahoma,21,Nebraska,7,
2007,B12 Champ,B12 Champ,,,Oklahoma,38,Missouri,17,
2008,B12 Champ,B12 Champ,,,Oklahoma,62,Missouri,21,
2009,B12 Champ,B12 Champ,,,Texas,13,Nebraska,12,
2010,B12 Champ,B12 Champ,,,Oklahoma,23,Nebraska,20,
2017,B12 Champ,B12 Champ,,,Oklahoma,41,TCU,17,
2018,B12 Champ,B12 Champ,,,Oklahoma,39,Texas,27,
2019,B12 Champ,B12 Champ,,,Oklahoma,30,Baylor,23,OT
2020,B12 Champ,B12 Champ,,,Oklahoma,27,Iowa State,21,
2021,B12 Champ,B12 Champ,,,Baylor,21,Oklahoma St.,16,
2022,B12 Champ,B12 Champ,,,Kansas St.,31,TCU,28,OT
2023,B12 Champ,B12 Champ,,,Texas,49,Oklahoma St.,21,
2024,B12 Champ,B12 Champ,,,Arizona St.,45,Iowa State,19,
1936,Bacardi,Bacardi,Jan,1937,Auburn,7,Villanova,7,tie
2014,Bahamas,Bahamas,Dec,2014,Western Ky.,49,Central Mich.,48,
2015,Bahamas,Bahamas,Dec,2015,Western Mich.,45,Middle Tenn.,31,
2016,Bahamas,Bahamas,Dec,2016,Old Dominion,24,Eastern Mich.,20,
2017,Bahamas,Bahamas,Dec,2017,Ohio,41,UAB,6,
2018,Bahamas,Bahamas,Dec,2018,FIU,35,Toledo,32,
2019,Bahamas,Bahamas,Dec,2019,Buffalo,31,Charlotte,9,
2020,Bahamas,Bahamas,(cancelled),,,,,,
2021,Bahamas,Bahamas,Dec,2021,Middle Tenn.,31,Toledo,24,
2022,Bahamas,Bahamas,Dec,2022,UAB,24,Miami Ohio,20,
2023,Famous Toastery,Bahamas,Dec,2023,Western Ky.,38,Old Dominion,35,OT
2024,Bahamas,Bahamas,Jan,2025,Buffalo,26,Liberty,7,
2006,BCS Champ,BCS Champ,Jan,2007,Florida,41,Ohio State,14,Glendale
2007,BCS Champ,BCS Champ,Jan,2008,LSU,38,Ohio State,24,New Orleans
2008,BCS Champ,BCS Champ,Jan,2009,Florida,24,Oklahoma,14,Miami
2009,BCS Champ,BCS Champ,Jan,2010,Alabama,37,Texas,21,Pasadena
2010,BCS Champ,BCS Champ,Jan,2011,Auburn,22,Oregon,19,Glendale
2011,BCS Champ,BCS Champ,Jan,2012,Alabama,21,LSU,0,New Orleans
2012,BCS Champ,BCS Champ,Jan,2013,Alabama,42,Notre Dame,14,Miami
2013,BCS Champ,BCS Champ,Jan,2014,Florida St.,34,Auburn,31,Pasadena
2006,Papajohns.com,Birmingham,Dec,2006,South Florida,24,East Carolina,7,
2007,Papajohns.com,Birmingham,Dec,2007,Cincinnati,31,Southern Miss,21,
2008,Papajohns.com,Birmingham,Dec,2008,Rutgers,29,NC State,23,
2009,Papajohns.com,Birmingham,Jan,2010,Connecticut,20,South Carolina,7,
2010,Compass,Birmingham,Jan,2011,Pittsburgh,27,Kentucky,10,
2011,Compass,Birmingham,Jan,2012,SMU,28,Pittsburgh,6,
2012,Compass,Birmingham,Jan,2013,Mississippi,38,Pittsburgh,17,
2013,Compass,Birmingham,Jan,2014,Vanderbilt,41,Houston,24,
2014,Birmingham,Birmingham,Jan,2015,Florida,28,East Carolina,20,
2015,Birmingham,Birmingham,Dec,2015,Auburn,31,Memphis,10,
2016,Birmingham,Birmingham,Dec,2016,South Florida,46,South Carolina,39,OT
2017,Birmingham,Birmingham,Dec,2017,South Florida,38,Texas Tech,34,
2018,Birmingham,Birmingham,Dec,2018,Wake Forest,37,Memphis,34,
2019,Birmingham,Birmingham,Jan,2020,Cincinnati,38,Boston College,6,
2020,Birmingham,Birmingham,(cancelled),,,,,,
2021,Birmingham,Birmingham,Dec,2021,Houston,17,Auburn,13,
2022,Birmingham,Birmingham,Dec,2022,East Carolina,53,Coastal Carolina,29,
2023,Birmingham,Birmingham,Dec,2023,Duke,17,Troy,10,
2024,Birmingham,Birmingham,Dec,2024,Vanderbilt,35,Georgia Tech,27,
1959,Bluebonnet,Bluebonnet,Dec,1959,Clemson,23,TCU,7,
1960,Bluebonnet,Bluebonnet,Dec,1960,Alabama,3,Texas,3,tie
1961,Bluebonnet,Bluebonnet,Dec,1961,Kansas,33,Rice,7,
1962,Bluebonnet,Bluebonnet,Dec,1962,Missouri,14,Georgia Tech,10,
1963,Bluebonnet,Bluebonnet,Dec,1963,Baylor,14,LSU,7,
1964,Bluebonnet,Bluebonnet,Dec,1964,Tulsa,14,Mississippi,7,
1965,Bluebonnet,Bluebonnet,Dec,1965,Tennessee,27,Tulsa,6,
1966,Bluebonnet,Bluebonnet,Dec,1966,Texas,19,Mississippi,0,
1967,Bluebonnet,Bluebonnet,Dec,1967,Colorado,31,Miami,21,
1968,Bluebonnet,Bluebonnet,Dec,1968,SMU,28,Oklahoma,27,
1969,Bluebonnet,Bluebonnet,Dec,1969,Houston,36,Auburn,7,
1970,Bluebonnet,Bluebonnet,Dec,1970,Alabama,24,Oklahoma,24,tie
1971,Bluebonnet,Bluebonnet,Dec,1971,Colorado,29,Houston,17,
1972,Bluebonnet,Bluebonnet,Dec,1972,Tennessee,24,LSU,17,
1973,Bluebonnet,Bluebonnet,Dec,1973,Houston,47,Tulane,7,
1974,Bluebonnet,Bluebonnet,Dec,1974,NC State,31,Houston,31,tie
1975,Bluebonnet,Bluebonnet,Dec,1975,Texas,38,Colorado,21,
1976,Bluebonnet,Bluebonnet,Dec,1976,Nebraska,27,Texas Tech,24,
1977,Bluebonnet,Bluebonnet,Dec,1977,USC,47,Texas A&M,28,
1978,Bluebonnet,Bluebonnet,Dec,1978,Stanford,25,Georgia,22,
1979,Bluebonnet,Bluebonnet,Dec,1979,Purdue,27,Tennessee,22,
1980,Bluebonnet,Bluebonnet,Dec,1980,North Carolina,16,Texas,7,
1981,Bluebonnet,Bluebonnet,Dec,1981,Michigan,33,UCLA,14,
1982,Bluebonnet,Bluebonnet,Dec,1982,Arkansas,28,Florida,24,
1983,Bluebonnet,Bluebonnet,Dec,1983,Oklahoma St.,24,Baylor,14,
1984,Bluebonnet,Bluebonnet,Dec,1984,West Virginia,31,TCU,14,
1985,Bluebonnet,Bluebonnet,Dec,1985,Air Force,24,Texas,16,
1986,Bluebonnet,Bluebonnet,Dec,1986,Baylor,21,Colorado,9,
1987,Bluebonnet,Bluebonnet,Dec,1987,Texas,32,Pittsburgh,27,
1958,Bluegrass,Bluegrass,Dec,1958,Oklahoma St.,15,Florida St.,6,
2014,Boca Raton,Boca Raton,Dec,2014,Marshall,52,Northern Ill.,23,
2015,Boca Raton,Boca Raton,Dec,2015,Toledo,32,Temple,17,
2016,Boca Raton,Boca Raton,Dec,2016,Western Ky.,51,Memphis,31,
2017,Boca Raton,Boca Raton,Dec,2017,Fla. Atlantic,50,Akron,3,
2018,Boca Raton,Boca Raton,Dec,2018,UAB,37,Northern Ill.,13,
2019,Boca Raton,Boca Raton,Dec,2019,Fla. Atlantic,52,SMU,28,
2020,Boca Raton,Boca Raton,Dec,2020,BYU,49,UCF,23,
2021,Boca Raton,Boca Raton,Dec,2021,Western Ky.,59,Appalachian St.,38,
2022,Boca Raton,Boca Raton,Dec,2022,Toledo,21,Liberty,19,
2023,Boca Raton,Boca Raton,Dec,2023,South Florida,45,Syracuse,0,
2024,Boca Raton,Boca Raton,Dec,2024,James Madison,27,Western Ky.,17,
1981,California,Cal/LV,Dec,1981,Toledo,27,San Jose St.,25,
1982,California,Cal/LV,Dec,1982,Fresno St.,29,Bowling Green,28,
1983,California,Cal/LV,Dec,1983,Northern Ill.,20,CS Fullerton,13,
1984,California,Cal/LV,Dec,1984,UNLV,30,Toledo,13,
1985,California,Cal/LV,Dec,1985,Fresno St.,51,Bowling Green,7,
1986,California,Cal/LV,Dec,1986,San Jose St.,37,Miami Ohio,7,
1987,California,Cal/LV,Dec,1987,Eastern Mich.,30,San Jose St.,27,
1988,California Raisin,Cal/LV,Dec,1988,Fresno St.,35,Western Mich.,30,
1989,California Raisin,Cal/LV,Dec,1989,Fresno St.,27,Ball State,6,
1990,California Raisin,Cal/LV,Dec,1990,San Jose St.,48,Central Mich.,24,
1991,California Raisin,Cal/LV,Dec,1991,Bowling Green,28,Fresno St.,21,
1992,Las Vegas,Cal/LV,Dec,1992,Bowling Green,35,Nevada,34,
1993,Las Vegas,Cal/LV,Dec,1993,Utah State,42,Ball State,33,
1994,Las Vegas,Cal/LV,Dec,1994,UNLV,52,Central Mich.,24,
1995,Las Vegas,Cal/LV,Dec,1995,Toledo,40,Nevada,37,OT
1996,Las Vegas,Cal/LV,Dec,1996,Nevada,18,Ball State,15,
1997,Las Vegas,Cal/LV,Dec,1997,Oregon,41,Air Force,13,
1998,Las Vegas,Cal/LV,Dec,1998,North Carolina,20,San Diego St.,13,
1999,Las Vegas,Cal/LV,Dec,1999,Utah,17,Fresno St.,16,
2000,Las Vegas,Cal/LV,Dec,2000,UNLV,31,Arkansas,14,
2001,Las Vegas,Cal/LV,Dec,2001,Utah,10,USC,6,
2002,Las Vegas,Cal/LV,Dec,2002,UCLA,27,New Mexico,13,
2003,Las Vegas,Cal/LV,Dec,2003,Oregon St.,55,New Mexico,14,
2004,Las Vegas,Cal/LV,Dec,2004,Wyoming,24,UCLA,21,
2005,Las Vegas,Cal/LV,Dec,2005,California,35,BYU,28,
2006,Las Vegas,Cal/LV,Dec,2006,BYU,38,Oregon,8,
2007,Las Vegas,Cal/LV,Dec,2007,BYU,17,UCLA,16,
2008,Las Vegas,Cal/LV,Dec,2008,Arizona,31,BYU,21,
2009,Las Vegas,Cal/LV,Dec,2009,BYU,44,Oregon St.,20,
2010,Las Vegas,Cal/LV,Dec,2010,Boise St.,26,Utah,3,
2011,Las Vegas,Cal/LV,Dec,2011,Boise St.,56,Arizona St.,24,
2012,Las Vegas,Cal/LV,Dec,2012,Boise St.,28,Washington,26,
2013,Las Vegas,Cal/LV,Dec,2013,USC,45,Fresno St.,20,
2014,Las Vegas,Cal/LV,Dec,2014,Utah,45,Colorado St.,10,
2015,Las Vegas,Cal/LV,Dec,2015,Utah,35,BYU,28,
2016,Las Vegas,Cal/LV,Dec,2016,San Diego St.,34,Houston,10,
2017,Las Vegas,Cal/LV,Dec,2017,Boise St.,38,Oregon,28,
2018,Las Vegas,Cal/LV,Dec,2018,Fresno St.,31,Arizona St.,20,
2019,Las Vegas,Cal/LV,Dec,2019,Washington,38,Boise St.,7,
2020,Las Vegas,Cal/LV,(cancelled),,,,,,
2021,Las Vegas,Cal/LV,Dec,2021,Wisconsin,20,Arizona St.,13,
2022,Las Vegas,Cal/LV,Dec,2022,Oregon St.,30,Florida,3,
2023,Las Vegas,Cal/LV,Dec,2023,Northwestern,14,Utah,7,
2024,Las Vegas,Cal/LV,Dec,2024,USC,35,Texas A&M,31,
2014,Camellia,Camellia,Dec,2014,Bowling Green,33,South Alabama,28,
2015,Camellia,Camellia,Dec,2015,Appalachian St.,31,Ohio,29,
2016,Camellia,Camellia,Dec,2016,Appalachian St.,31,Toledo,28,
2017,Camellia,Camellia,Dec,2017,Middle Tenn.,35,Arkansas St.,30,
2018,Camellia,Camellia,Dec,2018,Ga. Southern,23,Eastern Mich.,21,
2019,Camellia,Camellia,Dec,2019,Arkansas St.,34,FIU,26,
2020,Camellia,Camellia,Dec,2020,Buffalo,17,Marshall,10,
2021,Camellia,Camellia,Dec,2021,Georgia St.,51,Ball State,20,
2022,Camellia,Camellia,Dec,2022,Buffalo,23,Ga. Southern,21,
2023,Camellia,Camellia,Dec,2023,Northern Ill.,21,Arkansas St.,19,
2024,Salute to Vets,Camellia,Dec,2024,South Alabama,30,Western Mich.,23,
1948,Camellia,Camellia 1940s,Dec,1948,Hardin Simmons,49,Wichita St.,12,
2014,CFP Champ,CFP Champ,Jan,2015,Ohio State,42,Oregon,20,Arlington
2015,CFP Champ,CFP Champ,Jan,2016,Alabama,45,Clemson,40,Glendale
2016,CFP Champ,CFP Champ,Jan,2017,Clemson,35,Alabama,31,Tampa
2017,CFP Champ,CFP Champ,Jan,2018,Alabama,26,Georgia,23,OT Atlanta
2018,CFP Champ,CFP Champ,Jan,2019,Clemson,44,Alabama,16,Santa Clara
